2025-04-02 14:58:29,711 INFO    MainThread:145765 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_setup.py:_flush():67] Configure stats pid to 145765
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_setup.py:_flush():67] Loading settings from /home/hosen/.config/wandb/settings
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_setup.py:_flush():67] Loading settings from /home/hosen/LLM assisted smart contract intent detection/wandb/settings
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/hosen/LLM assisted smart contract intent detection/intent_results/wandb/run-20250402_145829-20250402_145827/logs/debug.log
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/hosen/LLM assisted smart contract intent detection/intent_results/wandb/run-20250402_145829-20250402_145827/logs/debug-internal.log
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:init():761] calling init triggers
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'input_dir': 'contracts_to_analyze', 'wandb_dir': None, 'max_contracts': 0, 'save_interval': 10, 'num_tests': 1, 'model_type': 'api', 'model_name': 'gpt-3.5-turbo', 'embedding_model': 'text-embedding-ada-002', 'api_key': None, 'use_local': False, 'local_model_path': None, 'device': 'cpu', 'http_proxy': None, 'https_proxy': None, 'debug': False, '_wandb': {}}
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:init():784] starting backend
2025-04-02 14:58:29,712 INFO    MainThread:145765 [wandb_init.py:init():788] sending inform_init request
2025-04-02 14:58:29,724 INFO    MainThread:145765 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-02 14:58:29,724 INFO    MainThread:145765 [wandb_init.py:init():798] backend started and connected
2025-04-02 14:58:29,725 INFO    MainThread:145765 [wandb_init.py:init():891] updated telemetry
2025-04-02 14:58:29,736 INFO    MainThread:145765 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-02 14:58:31,146 INFO    MainThread:145765 [wandb_init.py:init():990] starting run threads in backend
2025-04-02 14:58:31,277 INFO    MainThread:145765 [wandb_run.py:_console_start():2375] atexit reg
2025-04-02 14:58:31,277 INFO    MainThread:145765 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-02 14:58:31,277 INFO    MainThread:145765 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-02 14:58:31,277 INFO    MainThread:145765 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-02 14:58:31,278 INFO    MainThread:145765 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-02 15:01:53,341 INFO    MsgRouterThr:145765 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
